date,region,product_id,available_snapshots,snapshots,stockout_hours,avg_stock,replenishment_qty,availability_pct
2025-05-01,East,P001,6,6,0.0,86.5,35,1.0
2025-05-01,East,P002,6,6,0.0,102.0,41,1.0
2025-05-01,East,P003,6,6,0.0,86.66666666666667,37,1.0
2025-05-01,East,P004,6,6,0.0,92.66666666666667,34,1.0
2025-05-01,East,P005,6,6,0.0,101.5,39,1.0
2025-05-01,East,P006,6,6,0.0,81.5,39,1.0
2025-05-01,East,P007,6,6,0.0,71.66666666666667,44,1.0
2025-05-01,East,P008,5,6,4.0,90.0,21,0.8333333333333334
2025-05-01,East,P009,6,6,0.0,96.33333333333333,43,1.0
2025-05-01,East,P010,6,6,0.0,94.5,50,1.0
2025-05-01,East,P011,6,6,0.0,68.0,40,1.0
2025-05-01,East,P012,6,6,0.0,87.33333333333333,54,1.0
2025-05-01,East,P013,6,6,0.0,79.33333333333333,36,1.0
2025-05-01,East,P014,6,6,0.0,98.16666666666667,33,1.0
2025-05-01,East,P015,6,6,0.0,63.333333333333336,44,1.0
2025-05-01,East,P016,6,6,0.0,75.16666666666667,42,1.0
2025-05-01,East,P017,5,6,4.0,72.16666666666667,41,0.8333333333333334
2025-05-01,East,P018,5,6,4.0,67.66666666666667,33,0.8333333333333334
2025-05-01,East,P019,6,6,0.0,90.66666666666667,44,1.0
2025-05-01,East,P021,6,6,0.0,94.83333333333333,33,1.0
2025-05-01,East,P022,6,6,0.0,88.83333333333333,40,1.0
2025-05-01,East,P023,6,6,0.0,72.66666666666667,17,1.0
2025-05-01,East,P024,6,6,0.0,90.83333333333333,40,1.0
2025-05-01,East,P025,6,6,0.0,81.66666666666667,30,1.0
2025-05-01,East,P026,6,6,0.0,64.16666666666667,54,1.0
2025-05-01,East,P027,6,6,0.0,89.83333333333333,10,1.0
2025-05-01,East,P028,6,6,0.0,82.16666666666667,38,1.0
2025-05-01,East,P029,6,6,0.0,83.16666666666667,52,1.0
2025-05-01,East,P030,6,6,0.0,92.33333333333333,39,1.0
2025-05-01,East,P031,6,6,0.0,73.16666666666667,41,1.0
2025-05-01,East,P032,6,6,0.0,81.83333333333333,30,1.0
2025-05-01,East,P033,6,6,0.0,85.83333333333333,37,1.0
2025-05-01,East,P034,6,6,0.0,91.5,48,1.0
2025-05-01,East,P035,6,6,0.0,89.0,32,1.0
2025-05-01,East,P036,6,6,0.0,80.5,33,1.0
2025-05-01,East,P037,6,6,0.0,83.66666666666667,47,1.0
2025-05-01,East,P038,6,6,0.0,77.66666666666667,33,1.0
2025-05-01,East,P039,6,6,0.0,90.66666666666667,36,1.0
2025-05-01,East,P040,6,6,0.0,89.33333333333333,60,1.0
2025-05-01,East,P041,6,6,0.0,89.83333333333333,32,1.0
2025-05-01,East,P042,6,6,0.0,86.83333333333333,52,1.0
2025-05-01,East,P043,6,6,0.0,100.66666666666667,45,1.0
2025-05-01,East,P044,6,6,0.0,82.83333333333333,52,1.0
2025-05-01,East,P045,6,6,0.0,79.5,41,1.0
2025-05-01,East,P046,6,6,0.0,101.33333333333333,53,1.0
2025-05-01,East,P047,6,6,0.0,88.66666666666667,45,1.0
2025-05-01,East,P048,6,6,0.0,82.5,23,1.0
2025-05-01,East,P049,5,6,4.0,74.16666666666667,56,0.8333333333333334
2025-05-01,East,P050,6,6,0.0,86.5,22,1.0
2025-05-01,East,P051,6,6,0.0,84.16666666666667,32,1.0
2025-05-01,East,P052,6,6,0.0,67.66666666666667,46,1.0
2025-05-01,East,P053,6,6,0.0,80.0,46,1.0
2025-05-01,East,P054,6,6,0.0,70.66666666666667,23,1.0
2025-05-01,East,P055,5,6,4.0,64.16666666666667,30,0.8333333333333334
2025-05-01,East,P056,6,6,0.0,83.83333333333333,20,1.0
2025-05-01,East,P057,6,6,0.0,91.16666666666667,35,1.0
2025-05-01,East,P058,6,6,0.0,80.66666666666667,32,1.0
2025-05-01,East,P059,5,6,4.0,75.66666666666667,47,0.8333333333333334
2025-05-01,East,P060,3,6,12.0,41.666666666666664,48,0.5
2025-05-01,North,P001,6,6,0.0,97.5,13,1.0
2025-05-01,North,P002,6,6,0.0,90.83333333333333,16,1.0
2025-05-01,North,P003,6,6,0.0,80.0,27,1.0
2025-05-01,North,P004,6,6,0.0,84.33333333333333,36,1.0
2025-05-01,North,P005,6,6,0.0,66.83333333333333,51,1.0
2025-05-01,North,P006,5,6,4.0,72.66666666666667,34,0.8333333333333334
