date,region,channel,impressions,clicks,sessions,checkout_starts,checkout_completes,marketing_spend,revenue,orders,cogs,conversion_rate,aov,gross_margin,checkout_success_rate
2025-05-01,East,App,6828,503,308,31.81,12.41,5664.34,88832.6,13,57875.18,0.04220779220779221,6833.276923076924,0.3484916573420119,0.39012889028607356
2025-05-01,East,Marketplace,5910,409,255,26.380000000000003,10.29,4831.12,66848.12000000001,11,44565.86,0.043137254901960784,6077.101818181819,0.33332665151989327,0.39006823351023495
2025-05-01,East,Web,8214,604,370,38.5,15.02,6713.57,129965.08,15,84823.97,0.04054054054054054,8664.338666666667,0.34733260657401205,0.3901298701298701
2025-05-01,North,App,9112,617,397,41.379999999999995,16.14,7379.91,92307.95999999999,17,74437.06,0.042821158690176324,5429.879999999999,0.19360085522418646,0.39004349927501214
2025-05-01,North,Marketplace,8648,582,359,37.69,14.69,6882.5,202516.83000000002,15,142221.34999999998,0.04178272980501393,13501.122000000001,0.2977307120598324,0.3897585566463253
2025-05-01,North,Web,11686,733,488,51.989999999999995,20.28,8573.9,207411.85,20,148040.98,0.040983606557377046,10370.5925,0.2862462776355353,0.3900750144258512
2025-05-01,South,App,8198,567,359,38.55,15.040000000000001,6419.04,71980.87,15,46944.73,0.04178272980501393,4798.724666666666,0.34781657959955187,0.39014267185473417
2025-05-01,South,Marketplace,6993,484,298,31.58,12.309999999999999,5668.54,110790.58,12,82230.8,0.040268456375838924,9232.548333333334,0.2577816633869053,0.38980367321089293
2025-05-01,South,Web,9727,650,407,42.0,16.38,7671.51,154095.33,17,104064.9,0.04176904176904177,9064.431176470587,0.32467194171296426,0.38999999999999996
2025-05-01,West,App,8937,621,394,40.23,15.69,7513.69,118126.88,17,79945.46,0.04314720812182741,6948.64,0.3232238081628838,0.3900074571215511
2025-05-01,West,Marketplace,7067,526,319,34.480000000000004,13.45,5827.79,125631.69,13,85286.34,0.04075235109717868,9663.976153846153,0.32113991302672124,0.3900812064965197
2025-05-01,West,Web,10823,733,457,48.19,18.79,8814.310000000001,123951.61,19,91725.08,0.04157549234135667,6523.768947368421,0.2599928310733519,0.3899149201079062
